DMC H S L
3713 0 100 94
761 0 100 89
760 0 78 82
3712 0 79 74
3328 0 68 66
347 0 62 46
353 13 96 90
352 3 96 79
351 1 75 66
350 0 71 58
349 349 86 44
817 351 95 38
3708 348 100 90
3706 349 100 84
3705 349 100 74
3801 349 77 60
666 349 78 50
321 354 64 47
304 352 71 42
498 350 80 36
816 350 86 32
815 349 90 28
814 347 100 24
894 353 100 85
893 350 95 78
892 351 100 74
891 350 100 67
818 9 100 93
957 0 95 85
956 0 100 78
309 0 8 31
963 0 100 92
3716 0 100 87
962 0 65 72
961 0 49 63
3833 349 70 72
3832 349 65 60
3831 349 58 44
777 349 46 39
819 9 100 96
3326 355 91 83
776 353 93 84
899 351 83 71
335 350 82 63
326 352 50 47
151 349 53 87
3354 354 53 77
3733 348 68 72
3731 345 61 63
3350 343 47 50
150 335 98 34
3689 357 88 87
3688 357 56 78
3687 357 47 60
3803 342 54 44
3685 345 73 31
605 348 100 88
604 349 100 85
603 343 100 82
602 343 73 58
601 337 68 49
600 340 63 49
3806 342 100 77
3805 336 88 62
3804 335 75 52
3609 327 76 82
3608 329 65 76
3607 329 52 53
718 329 63 38
917 329 78 34
915 329 100 25
225 14 100 92
224 8 60 80
152 6 56 74
223 6 44 64
3722 5 40 56
3721 356 36 46
221 356 37 39
778 349 41 79
3727 349 41 76
316 349 32 58
3726 350 26 48
315 350 28 40
3802 350 27 35
902 349 55 33
3743 320 13 82
3042 337 15 67
3041 339 15 51
3740 340 16 41
3836 323 23 65
3835 320 21 48
3834 321 35 33
154 342 41 24
211 300 30 84
210 300 23 69
209 295 20 57
208 290 21 45
3837 298 31 33
327 296 31 31
153 330 34 85
554 324 36 78
553 323 26 51
552 318 38 36
550 312 59 23
3747 231 42 88
341 227 36 79
156 226 33 73
340 251 22 72
155 251 20 64
3746 256 18 51
333 253 18 40
157 224 28 79
794 224 29 66
793 224 21 54
3807 230 19 46
792 231 18 41
158 229 18 36
791 242 18 33
3840 217 36 77
3839 216 22 58
3838 216 23 47
800 216 31 81
809 216 30 68
799 216 31 58
798 210 34 42
797 211 74 28
796 209 73 25
820 209 74 21
162 201 57 91
827 200 57 84
813 203 40 74
826 204 40 58
825 203 40 46
824 203 41 38
996 193 83 56
3843 192 82 45
995 193 65 43
3846 181 95 46
3845 182 96 40
3844 184 82 40
159 229 17 81
160 228 17 66
161 229 19 56
3756 180 70 96
775 195 46 90
3841 206 47 87
3325 206 48 81
3755 206 38 69
334 206 39 60
322 206 40 54
312 206 45 38
803 206 48 33
336 223 51 30
823 226 50 26
939 226 51 22
3753 210 24 89
3752 210 22 82
932 208 24 71
931 209 21 52
930 209 24 36
3750 208 25 29
828 188 53 85
3761 191 48 78
519 199 40 64
518 194 36 48
3760 197 45 44
517 198 42 40
3842 198 43 34
311 198 57 25
747 183 86 95
3766 189 46 73
807 190 38 56
806 189 46 44
3765 189 46 38
3811 184 46 82
598 189 37 68
597 191 37 53
3810 189 36 44
3809 188 36 38
3808 187 35 33
928 180 10 88
927 180 12 77
926 180 12 64
3768 180 11 45
924 180 10 38
3849 171 39 51
3848 179 27 45
3847 173 41 35
964 169 50 77
959 170 50 56
958 170 49 48
3812 175 50 37
3851 170 42 49
943 170 41 41
3850 170 41 37
993 165 28 66
992 166 28 56
3814 166 27 43
991 165 27 38
966 134 27 78
564 133 28 73
563 131 28 66
562 140 29 46
505 155 44 36
3817 144 26 68
3816 143 26 52
163 142 26 41
3815 143 25 37
561 144 41 29
504 138 28 82
3813 139 28 76
503 151 23 58
502 145 23 46
501 148 32 33
500 159 90 16
955 133 39 74
954 131 27 63
913 130 27 55
912 157 71 36
911 159 71 33
910 156 68 29
909 155 68 26
3818 155 68 21
369 100 48 86
368 100 26 68
320 100 20 44
367 98 20 40
319 133 50 25
890 134 52 19
164 90 29 78
989 91 22 55
988 90 21 45
987 91 27 35
986 92 26 25
772 80 39 88
3348 79 34 77
3347 97 23 47
3346 113 29 32
3345 115 62 22
895 100 100 16
704 79 62 51
703 92 44 49
702 108 56 42
701 107 55 36
700 131 89 24
699 131 91 21
907 75 72 65
906 85 54 45
905 84 55 35
904 84 56 30
472 69 58 75
471 75 35 61
470 75 37 49
469 75 38 38
937 75 38 32
936 74 40 25
935 75 40 22
934 75 39 16
523 74 14 64
3053 74 16 58
3052 74 17 49
3051 74 17 34
524 76 25 74
522 75 14 56
520 74 16 37
3364 81 23 48
3363 82 20 42
3362 82 20 35
165 64 78 80
3819 64 74 66
166 64 55 52
581 64 51 45
580 63 47 38
734 55 42 62
733 55 46 52
732 55 47 40
731 55 46 40
730 55 46 35
3013 60 28 62
3012 61 30 51
3011 61 22 44
372 42 41 66
371 41 38 60
370 41 37 56
834 41 56 68
833 41 46 60
832 41 45 53
831 41 33 50
830 41 31 42
829 41 31 38
613 31 42 76
612 30 34 60
611 30 27 46
610 30 26 38
3047 33 44 83
3046 33 44 73
3045 32 38 58
167 33 39 47
746 60 70 96
677 47 68 88
422 29 40 63
3828 29 37 55
420 29 42 44
869 30 39 37
728 37 70 65
783 38 70 47
782 37 69 40
781 36 67 38
780 36 70 34
676 42 60 75
729 42 61 53
680 44 86 40
3829 46 95 34
3822 43 84 78
3821 42 84 71
3820 41 67 62
3852 41 60 51
445 58 100 77
307 54 98 66
973 53 100 50
444 50 100 50
3078 55 92 90
727 49 100 84
726 46 98 66
725 43 100 63
972 41 100 54
745 44 100 84
744 47 100 79
743 41 99 73
742 37 100 67
741 34 100 58
740 33 100 50
970 32 93 52
971 31 100 48
947 16 100 65
946 24 94 47
900 24 94 42
967 13 100 92
3824 11 97 88
3341 11 94 79
3340 8 100 72
608 12 98 60
606 11 98 50
951 24 100 91
3856 24 100 85
722 18 89 70
721 18 87 60
720 18 79 51
3825 23 96 79
922 25 77 51
921 26 78 44
920 25 79 38
919 21 82 36
918 21 86 27
3770 24 100 95
945 24 89 86
402 23 89 72
3776 26 61 52
301 23 61 44
400 24 81 31
300 25 100 22
3823 56 100 95
3855 37 91 78
3854 31 84 68
3853 28 87 61
3827 32 89 7
977 31 66 60
976 30 51 51
3826 29 50 45
975 29 78 32
948 22 95 93
754 13 78 86
3771 14 77 81
758 11 71 77
3778 11 56 66
356 8 48 56
3830 9 46 50
355 9 48 40
3777 8 60 33
3779 2 77 88
3859 15 31 61
3858 8 41 42
3857 8 60 25
3774 21 54 90
950 21 55 85
3064 21 42 60
407 21 40 56
3773 21 41 52
3772 21 33 47
632 22 41 38
453 15 13 82
452 17 12 72
451 16 12 51
3861 11 17 58
3860 9 18 42
779 12 17 33
712 45 100 97
739 35 77 88
738 35 67 77
437 31 61 73
436 31 54 56
435 25 44 50
434 26 50 40
433 25 59 30
801 25 60 25
898 26 59 18
938 26 59 13
3371 25 58 7
543 35 58 88
3864 33 31 70
3863 32 28 50
3862 32 28 42
3031 33 28 23
5200 0 0 100
0 45 40 98
3865 45 40 96
41 44 42 90
822 45 29 87
644 43 21 83
642 44 19 56
640 43 16 45
3787 43 10 35
3021 43 10 28
3024 45 9 91
3023 44 14 64
3022 65 10 52
535 65 6 37
3033 31 29 85
3782 30 33 74
3032 30 21 62
3790 30 20 42
3781 30 23 34
3866 36 50 96
842 31 34 73
841 31 28 60
840 31 25 48
839 32 23 33
838 32 24 28
3072 180 4 91
648 30 11 71
647 30 11 65
645 30 9 40
844 0 0 28
762 0 0 93
415 240 4 83
318 0 0 67
414 0 0 55
168 0 0 82
169 0 0 52
317 0 0 42
413 0 0 34
3799 0 0 26
310 0 0 0
01 240 6 90
02 240 1 85
03 240 2 73
04 240 2 69
05 23 40 82
06 23 34 79
07 24 13 50
08 17 20 35
09 15 72 19
10 88 95 92
11 72 61 82
12 71 45 73
13 156 75 86
14 95 90 84
15 83 67 79
16 56 51 57
17 58 69 67
18 58 59 64
19 42 90 67
20 17 86 77
21 16 52 68
22 10 45 52
23 300 23 91
24 263 40 89
25 261 34 87
26 268 36 85
27 251 48 95
28 257 17 59
29 283 30 36
30 248 20 56
31 239 28 43
32 260 50 36
33 298 28 48
34 319 45 34
35 323 87 15
