DMC R G B
0 252 251 248
01 227 227 230
02 215 215 216
03 184 184 187
04 174 174 177
05 227 204 190
06 220 198 184
07 143 123 110
08 106 80 70
09 85 32 14
10 237 254 217
11 226 237 181
12 205 217 154
13 191 246 224
14 208 251 178
15 209 237 164
16 201 194 88
17 229 226 114
18 217 213 109
19 247 201 95
20 247 175 147
21 215 153 130
22 188 96 78
23 237 226 237
24 224 215 238
25 218 210 233
26 215 202 230
27 240 238 249
28 144 134 169
29 103 64 118
30 125 119 165
31 80 81 141
32 77 46 138
33 156 89 158
34 125 48 100
35 70 5 45
41 240 234 218
150 171 2 73
151 240 206 212
152 226 160 153
153 230 204 217
154 87 36 51
155 152 145 182
156 163 174 209
157 187 195 217
158 76 82 110
159 199 202 215
160 153 159 183
161 120 128 164
162 219 236 245
163 77 131 97
164 200 216 184
165 239 244 164
166 192 200 64
167 167 124 73
168 209 209 209
169 132 132 132
208 131 91 139
209 163 123 167
210 195 159 195
211 227 203 227
221 136 62 67
223 204 132 124
224 235 183 175
225 255 223 213
300 111 47 0
301 179 95 43
304 183 31 51
307 253 237 84
309 86 74 74
310 0 0 0
311 28 80 102
312 53 102 139
315 129 73 82
316 183 115 127
317 108 108 108
318 171 171 171
319 32 95 46
320 105 136 90
321 199 43 59
322 90 143 184
326 179 59 75
327 99 54 102
333 92 84 120
334 115 159 193
335 238 84 110
336 37 59 115
340 173 167 199
341 183 191 221
347 191 45 45
349 210 16 53
350 224 72 72
351 233 106 103
352 253 156 151
353 254 215 204
355 152 68 54
356 197 106 91
367 97 122 82
368 166 194 152
369 215 237 204
370 184 157 100
371 191 166 113
372 204 183 132
400 143 67 15
402 247 167 119
407 187 129 97
413 86 86 86
414 140 140 140
415 211 211 214
420 160 112 66
422 198 159 123
433 122 69 31
434 152 94 51
435 184 119 72
436 203 144 81
437 228 187 142
444 255 214 0
445 255 251 139
451 145 123 115
452 192 179 174
453 215 206 203
469 114 132 60
470 148 171 79
471 174 191 121
472 216 228 152
498 167 19 43
500 4 77 51
501 57 111 82
502 91 144 113
503 123 172 148
504 196 222 204
505 51 131 98
517 59 118 143
518 79 147 167
519 126 177 200
520 102 109 79
522 150 158 126
523 171 177 151
524 196 205 172
535 99 100 88
