DMC R G B
3713 255 226 226
761 255 201 201
760 245 173 173
3712 241 135 135
3328 227 109 109
347 191 45 45
353 254 215 204
352 253 156 151
351 233 106 103
350 224 72 72
349 210 16 53
817 187 5 31
3708 255 203 213
3706 255 173 188
3705 255 121 146
3801 231 73 103
666 227 29 66
321 199 43 59
304 183 31 51
498 167 19 43
816 151 11 35
815 135 7 31
814 123 0 27
894 255 178 187
893 252 144 162
892 255 121 140
891 255 87 115
818 255 223 217
957 253 181 181
956 255 145 145
309 86 74 74
963 255 215 215
3716 255 189 189
962 230 138 138
961 207 115 115
3833 234 134 153
3832 219 85 110
3831 179 47 72
777 145 53 70
819 255 238 235
3326 251 173 180
776 252 176 185
899 242 118 136
335 238 84 110
326 179 59 75
151 240 206 212
3354 228 166 172
3733 232 135 155
3731 218 103 131
3350 188 67 101
150 171 2 73
3689 251 191 194
3688 231 169 172
3687 201 107 112
3803 171 51 87
3685 136 21 49
605 255 192 205
604 255 176 190
603 255 164 190
602 226 72 116
601 209 40 106
600 205 47 99
3806 255 140 174
3805 243 71 139
3804 224 40 118
3609 244 174 213
3608 234 156 196
3607 197 73 137
718 156 36 98
917 155 19 89
915 130 0 67
225 255 223 213
224 235 183 175
152 226 160 153
223 204 132 124
3722 188 108 100
3721 161 75 81
221 136 62 67
778 223 179 187
3727 219 169 178
316 183 115 127
3726 155 91 102
315 129 73 82
3802 113 65 73
902 130 38 55
3743 215 203 211
3042 183 157 167
3041 149 111 124
3740 120 87 98
3836 186 145 170
3835 148 96 131
3834 114 55 93
154 87 36 51
211 227 203 227
210 195 159 195
209 163 123 167
208 131 91 139
3837 108 58 110
327 99 54 102
153 230 204 217
554 219 179 203
553 163 99 139
552 128 58 107
550 92 24 78
3747 211 215 237
341 183 191 221
156 163 174 209
340 173 167 199
155 152 145 182
3746 119 107 152
333 92 84 120
157 187 195 217
794 143 156 193
793 112 125 162
3807 96 103 140
792 85 91 123
158 76 82 110
791 70 69 99
3840 176 192 218
3839 123 142 171
3838 92 114 148
800 192 204 222
809 148 168 198
799 116 142 182
798 70 106 142
797 19 71 125
796 17 65 109
820 14 54 92
162 219 236 245
827 189 221 237
813 161 194 215
826 107 158 191
825 71 129 165
824 57 105 135
996 48 194 236
3843 20 170 208
995 38 150 182
3846 6 227 230
3845 4 196 202
3844 18 174 186
159 199 202 215
160 153 159 183
161 120 128 164
3756 238 252 252
775 217 235 241
3841 205 223 237
3325 184 210 230
3755 147 180 206
334 115 159 193
322 90 143 184
312 53 102 139
803 44 89 124
336 37 59 115
823 33 48 99
939 27 40 83
3753 219 226 233
3752 199 209 219
932 162 181 198
931 106 133 158
930 69 92 113
3750 56 76 94
828 197 232 237
3761 172 216 226
519 126 177 200
518 79 147 167
3760 62 133 162
517 59 118 143
3842 50 102 124
311 28 80 102
747 229 252 253
3766 153 207 217
807 100 171 186
806 61 149 165
3765 52 127 140
3811 188 227 230
598 144 195 204
597 91 163 179
3810 72 142 154
3809 63 124 133
3808 54 105 112
928 221 227 227
927 189 203 203
926 152 174 174
3768 101 127 127
924 86 106 106
3849 82 179 164
3848 85 147 146
3847 52 125 117
964 169 226 216
959 89 199 180
958 62 182 161
3812 47 140 132
3851 73 179 161
943 61 147 132
3850 55 132 119
993 144 192 180
992 111 174 159
3814 80 139 125
991 71 123 110
966 185 215 192
564 167 205 175
563 143 192 152
562 83 151 106
505 51 131 98
3817 153 195 170
3816 101 165 125
163 77 131 97
3815 71 119 89
561 44 106 69
504 196 222 204
3813 178 212 189
503 123 172 148
502 91 144 113
501 57 111 82
500 4 77 51
955 162 214 173
954 136 186 145
913 109 171 119
912 27 157 107
911 24 144 101
910 24 126 86
909 21 111 73
3818 17 90 59
369 215 237 204
368 166 194 152
320 105 136 90
367 97 122 82
319 32 95 46
890 23 73 35
164 200 216 184
989 141 166 117
988 115 139 91
987 88 113 65
986 64 82 48
772 228 236 212
3348 204 217 177
3347 113 147 92
3346 64 106 58
3345 27 89 21
895 27 83 0
